"year","name","type"
1988,"Marilyn Horne","performer"
1988,"The Four Tops","performer"
1988,"Friz Freleng","performer"
1988,"Al Roker","performer"
1988,"Linda Church","performer"
1988,"Joe Witte","performer"
1988,"Jill Schulz","performer"
1988,"The Osmond Boys","performer"
1988,"Dr. Joyce Brothers","performer"
1988,"Desiree Coleman","performer"
1988,"Stephen Collins","performer"
1989,"Fred Travalena","performer"
1989,"Dixie Carter","performer"
1989,"Clint Black","performer"
1989,"Robert Vaughn","performer"
1989,"Chelsea Hertford","performer"
1989,"Terry Lester","performer"
1989,"Candace Cameron","performer"
1989,"Jodie Sweetin","performer"
1989,"Dawnn Lewis","performer"
1989,"Melba Moore","performer"
1989,"Buddy Hackett","performer"
1989,"Sandra Fergusen","performer"
1989,"Charles Grant","performer"
1989,"New Kids on the Block","performer"
1989,"Dave Cone","performer"
1989,"Tommy John","performer"
1989,"Jeremy Light","performer"
1989,"Odetta","performer"
1989,"Looney Tunes characters","performer"
1989,"Robin Leach","performer"
1989,"Judith Ledford","performer"
1989,"Nitty Gritty Dirt Band","performer"
1989,"Telly Savalas","performer"
1989,"Barbie","performer"
1989,"Alan Rachins","performer"
1989,"Jane Hanson","performer"
1989,"Katie Kelly","performer"
1989,"Perri Peltz","performer"
1989,"Donna Kane","performer"
1989,"Jill Schulz","performer"
1989,"Amani Murray","performer"
1989,"Chip 'n Dale","performer"
1989,"Gumby","performer"
1990,"Patti LaBelle","performer"
1990,"Robert Urich","performer"
1990,"Garth Brooks","performer"
1990,"The Guys Next Door","performer"
1990,"Cathy Rigby","performer"
1990,"Raven-Symoné","performer"
1990,"Bert and Ernie","performer"
1990,"Kyndra Joy Casper","performer"
1990,"Jann Carr","performer"
1990,"Judy Kaye","performer"
1990,"Teenage Mutant Ninja Turtles","performer"
1990,"Miss America 1990 Marjorie Vincent","performer"
1990,"Scott Bakula","performer"
1990,"Kecia Lewis Evans","performer"
1990,"Patty Loveless","performer"
1990,"Kermit the Frog and Miss Piggy","performer"
1990,"Tiny Toon Adventures cast","performer"
1990,"Katarina Witt & Brian Boitano","performer"
1990,"Barbie and the Sensations","performer"
1990,"Desiree Coleman","performer"
1990,"The Boys","performer"
1990,"Mark Jackson","performer"
1990,"Fred Travalena","performer"
1990,"Barry Manilow","performer"
1991,"Charlie Daniels","performer"
1991,"Kathleen Battle","performer"
1991,"Elayne Boosler","performer"
1991,"Rock-A-Doodle Characters","performer"
1991,"Kentucky Headhunters","performer"
1991,"Raven-Symoné","performer"
1991,"Joey Lawrence","performer"
1991,"Matthew Lawrence","performer"
1991,"Taz-Mania Characters","performer"
1991,"The Addams Family","performer"
1991,"Ben Vereen","performer"
1991,"Fred Travalena","performer"
1991,"Ian Ziering","performer"
1991,"Jennifer Holliday","performer"
1991,"Boyz II Men","performer"
1991,"Ashlee Levitch","performer"
1991,"Big Apple Chorus","performer"
1991,"Mario Lopez","performer"
1991,"Mark-Paul Gosselaar","performer"
1991,"Lark Voorhies","performer"
1991,"The Susan Marsh Dancers","performer"
1991,"Shelly Duvall","performer"
1991,"Judy Collins","performer"
1991,"Santa Claus","performer"
1991,"California Raisins","performer"
1992,"Jean McFaddin","performer"
1992,"Mac Davis","performer"
1992,"Shaun Weiss","performer"
1992,"Michael Fesinetin","performer"
1992,"Joey Lawrence","performer"
1992,"Dr. Joyce Brothers","performer"
1992,"Big Apple Circus","performer"
1992,"Rich Little","performer"
1992,"Shanice","performer"
1992,"Brian Greene","performer"
1992,"Jessye Norman","performer"
1992,"Jenna Von Oy","performer"
1992,"Cheech Marin","performer"
1992,"Characters from Beauty and the Beast","performer"
1992,"Shari Lewis","performer"
1992,"Lamb Chop","performer"
1992,"Peabo Bryson","performer"
1992,"Regina Belle","performer"
1992,"Kris Kross","performer"
1992,"Aaron Tippin","performer"
1992,"John Tesh","performer"
1992,"Connie Selleca","performer"
1992,"Russ Trolls","performer"
1992,"Santa Claus","performer"
1992,"The Pink Panther","performer"
1993,"Joe Lando","performer"
1993,"Stevie Wonder","performer"
1993,"Elayne Boosler","performer"
1993,"Dr. Joyce Brothers","performer"
1993,"Ruth Buzzi","performer"
1993,"Jo Anne Worley","performer"
1993,"Dirk Blocker","performer"
1993,"Michael Landon Jr.","performer"
1993,"Kelsey Grammer","performer"
1993,"Jonathan Brandis","performer"
1993,"Valley Stream Central High School Streamers","performer"
1993,"'69 Miracle Mets","performer"
1993,"Pedro Luis Garcia","performer"
1993,"Rebeca Rambal","performer"
1993,"Lorenzo Lamas","performer"
1993,"Kathleen Kinmont","performer"
1993,"Debbie Reynolds","performer"
1993,"Bob Dorian","performer"
1993,"Eva Marie-Saint","performer"
1993,"Joey Lawrence","performer"
1993,"Kathryn Zaremba","performer"
1993,"Harve Presnell","performer"
1993,"Cindy Lou","performer"
1993,"Dave Thomas","performer"
1993,"Shari Lewis","performer"
1993,"Lamb Chop","performer"
1993,"Ricki Lake","performer"
1993,"Santa Claus","performer"
1993,"McGruff the Crime Dog","performer"
1993,"Fred Flintstone","performer"
1993,"Ronald McDonald","performer"
1994,"Jean McFaddin","performer"
1994,"Bob Hope","performer"
1994,"Shari Lewis","performer"
1994,"Lamb Chop","performer"
1994,"Kermit the Frog and Miss Piggy","performer"
1994,"Kenny G","performer"
1994,"Dudley the Dragon","performer"
1994,"The Swan Princess Characters","performer"
1994,"Kris Bartling","performer"
1994,"Skeleton Warriors","performer"
1994,"The Cast of Sesame Street","performer"
1994,"Dorothy Lamour","performer"
1994,"Nick Clooney","performer"
1994,"Bob Dorian","performer"
1994,"Long Island Banjo Society","performer"
1994,"Joey Lawrence","performer"
1994,"Judy Collins","performer"
1994,"Liz Torres","performer"
1994,"Fred the Baker","performer"
1994,"Natalie Cole","performer"
1994,"Connie Stevens","performer"
1994,"Joely Fisher","performer"
1994,"Tricia Leigh Fishe","performer"
1994,"Dave Thomas","performer"
1994,"Santa Claus","performer"
1994,"Aero the Acro-Bat","performer"
1994,"Gumby","performer"
1994,"Barney","performer"
1994,"Baby Bop & BJ","performer"
1995,"The Cat in the Hat","performer"
1995,"Shania Twain","performer"
1995,"LL Cool J","performer"
1995,"Macy's Parade Dance Team","performer"
1995,"Boys Choir of Harlem","performer"
1995,"Hello Kitty","performer"
1995,"Pomp","performer"
