"balloon","version_num","years_active","sponsor","designer","height","length","width","weight","helium_volume","handlers","type","manufacturer","designers","handling_lines"
"The Wizard of Oz",4,"1939","Metro Goldwyn Mayer",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"The Wizard of Oz",5,"1974-1976","Macy's",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"The Wizard of Oz",6,"1990","Turner Entertainment",NA,NA,NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"The Wizard of Oz",7,"2013","Warner Bros. Home  Entertainment","Laura Duphiney","47 Feet",NA,NA,NA,NA,NA,"Giant Balloons",NA,NA,NA
"Thomas the Tank Engine",1,"2014-2016","Mattel, Inc. (2014-2015)Fisher-Price (2016)","Joel Naprstek","47 feet","51 feet","23 feet","450 lbs.","20,000 cubic ft.","90","Giant Balloons",NA,NA,NA
"Tiamat the Dragon",1,"1931","Macy's","Tony Sarg",NA,"175 feet",NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Tom Cat",1,"1931-1933","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Toothless",1,"2013-2015, 2018","DreamWorks Animation","Simon Otto and Zoro Rodriguez","48 feet","72 feet","36 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"Toy Soldier",1,"1950-1951, 1953-1954, 1957-1958","Macy's",NA,"45 Feet",NA,NA,NA,"3,000 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Toy Soldier",2,"2001, 2003-2004, 2006 (Main Parade)2002-2013 (Macy's Holiday Parade)","Macy's",NA,"34 Feet","9.5 Feet","14 Feet","65 Pounds","1,800 cubic ft.","12","Giant Balloons","Raven Aerostar",NA,NA
"Trolls",1,"2016-2020","DreamWorks Animation  (2016-2020)Universal Pictures (2019-2020)","Zoro Rodriguez","38 feet","57 feet","38 feet",NA,NA,"90","Giant Balloons",NA,NA,NA
"Turkey (1935)",1,"1935-1936","Macy's",NA,"25 feet",NA,NA,NA,"3,000 Cubic ft",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Two-Headed Giant",1,"1931","Macy's","Tony Sarg","50 feet",NA,NA,NA,NA,"20","Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Two-Headed Pirate",1,"1936","Macy's","Tony Sarg",NA,NA,NA,NA,NA,NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
"Uncle Sam",1,"1938-1940","Macy's",NA,"75 feet","75 feet",NA,NA,"5,500 cubic ft.",NA,"Giant Balloons","Goodyear Tire and Rubber Company",NA,NA
